technical_director	technical director
metal_drawing_machine_operator	metal drawing machine operator
precision_device_inspector	precision device inspector
air_traffic_safety_technician	air traffic safety technician
hospitality_revenue_manager	hospitality revenue manager
medical_laboratory_assistant	medical laboratory assistant
asphalt_laboratory_technician	asphalt laboratory technician
primary_school_teaching_assistant	primary school teaching assistant
physiotherapist	physiotherapist
performing_arts_theatre_instructor	performing arts theatre instructor
hydrogenation_machine_operator	hydrogenation machine operator
pasta_operator	pasta operator
tobacco_shop_manager	tobacco shop manager
rental_service_representative_in_other_machinery_equipment_and_tangible_goods	rental service representative in other machinery, equipment and tangible goods
mine_surveyor	mine surveyor
food_safety_specialist	food safety specialist
land_based_machinery_technician	land-based machinery technician
bus_driver	bus driver
import_export_manager_in_meat_and_meat_products	import export manager in meat and meat products
housing_policy_officer	housing policy officer
head_chef	head chef
nonwoven_filament_machine_operator	nonwoven filament machine operator
head_of_higher_education_institutions	head of higher education institutions
insulation_supervisor	insulation supervisor
dismantling_engineer	dismantling engineer
insurance_claims_handler	insurance claims handler
clothing_development_manager	clothing development manager
nitroglycerin_separator_operator	nitroglycerin separator operator
biomedical_engineer	biomedical engineer
legal_guardian	legal guardian
weaver	weaver
tile_fitter	tile fitter
shoe_and_leather_accessories_shop_manager	shoe and leather accessories shop manager
tour_operators_manager	tour operators manager
bee_breeder	bee breeder
legal_administrative_assistant	legal administrative assistant
petroleum_pump_system_operator	petroleum pump system operator
protective_clothing_apparel_manufacturer	protective clothing apparel manufacturer
coating_machine_operator	coating machine operator
aquaculture_hatchery_manager	aquaculture hatchery manager
gear_machinist	gear machinist
rooms_division_manager	rooms division manager
ceramic_painter	ceramic painter
telecommunications_engineer	telecommunications engineer
adult_literacy_teacher	adult literacy teacher
footwear_quality_manager	footwear quality manager
sprinkler_fitter	sprinkler fitter
electronic_and_telecommunications_equipment_and_parts_distribution_manager	electronic and telecommunications equipment and parts distribution manager
special_educational_needs_teacher_secondary_school	special educational needs teacher secondary school
performance_production_manager	performance production manager
metal_production_manager	metal production manager
aircraft_engine_assembler	aircraft engine assembler
quarry_engineer	quarry engineer
audiology_equipment_shop_manager	audiology equipment shop manager
hardware_and_paint_specialised_seller	hardware and paint specialised seller
primary_school_teacher	primary school teacher
tram_driver	tram driver
container_equipment_assembly_supervisor	container equipment assembly supervisor
warehouse_operators_for_clothing	warehouse operators for clothing
administrative_assistant	administrative assistant
coffee_grinder	coffee grinder
medical_administrative_assistant	medical administrative assistant
ict_security_administrator	ICT security administrator
bricklaying_supervisor	bricklaying supervisor
slate_mixer	slate mixer
marine_engineering_technician	marine engineering technician
auction_house_manager	auction house manager
software_analyst	software analyst
accounting_manager	accounting manager
foundry_manager	foundry manager
telecommunications_technician	telecommunications technician
promotions_demonstrator	promotions demonstrator
maritime_instructor	maritime instructor
foreign_exchange_trader	foreign exchange trader
aerospace_engineering_technician	aerospace engineering technician
table_saw_operator	table saw operator
bridge_construction_supervisor	bridge construction supervisor
bricklayer	bricklayer
meat_cutter	meat cutter
criminologist	criminologist
video_operator	video operator
fish_and_seafood_specialised_seller	fish and seafood specialised seller
oil_and_gas_production_manager	oil and gas production manager
metallurgical_technician	metallurgical technician
spinning_textile_technician	spinning textile technician
resilient_floor_layer	resilient floor layer
textile_quality_technician	textile quality technician
curing_room_worker	curing room worker
enameller	enameller
recruitment_consultant	recruitment consultant
actuarial_consultant	actuarial consultant
lighting_designer	lighting designer
dance_r_p_titeur	dance répétiteur
automotive_battery_technician	automotive battery technician
footwear_designer	footwear designer
public_employment_service_manager	public employment service manager
clothing_product_grader	clothing product grader
public_administration_manager	public administration manager
credit_analyst	credit analyst
plumbing_supervisor	plumbing supervisor
securities_analyst	securities analyst
dancer	dancer
bespoke_footwear_technician	bespoke footwear technician
judge	judge
puppet_designer	puppet designer
flexographic_press_operator	flexographic press operator
integration_engineer	integration engineer
weather_forecaster	weather forecaster
street_artist	street artist
spa_manager	spa manager
professional_athlete	professional athlete
specialised_veterinarian	specialised veterinarian
automated_fly_bar_operator	automated fly bar operator
commissioning_technician	commissioning technician
branch_manager	branch manager
search_engine_optimisation_expert	search engine optimisation expert
water_network_operative	water network operative
green_coffee_buyer	green coffee buyer
economics_lecturer	economics lecturer
motor_vehicles_parts_advisor	motor vehicles parts advisor
hairdresser	hairdresser
art_restorer	art restorer
presenter	presenter
golf_instructor	golf instructor
domestic_energy_assessor	domestic energy assessor
membership_administrator	membership administrator
hand_lasting_operator	hand lasting operator
nanny	nanny
wholesale_merchant_in_perfume_and_cosmetics	wholesale merchant in perfume and cosmetics
riveter	riveter
stringed_musical_instrument_maker	stringed musical instrument maker
textile_pattern_making_machine_operator	textile pattern making machine operator
ICT_test_analyst	ICT test analyst
hydraulic_forging_press_worker	hydraulic forging press worker
tissue_paper_perforating_and_rewinding_operator	tissue paper perforating and rewinding operator
animal_massage_therapist	animal massage therapist
aircraft_engine_specialist	aircraft engine specialist
boxing_instructor	boxing instructor
animal_care_attendant	animal care attendant
shop_assistant	shop assistant
fleet_commander	fleet commander
animal_therapist	animal therapist
paramedic_in_emergency_responses	paramedic in emergency responses
door_installer	door installer
fluid_power_technician	fluid power technician
corporate_trainer	corporate trainer
steam_engineer	steam engineer
medicine_lecturer	medicine lecturer
telephone_switchboard_operator	telephone switchboard operator
doctors_surgery_assistant	doctors' surgery assistant
cable_jointer	cable jointer
horse_riding_instructor	horse riding instructor
delivery_driver	delivery driver
digital_forensics_expert	digital forensics expert
medical_device_engineer	medical device engineer
telecommunication_equipment_shop_manager	telecommunication equipment shop manager
import_export_manager_in_agricultural_machinery_and_equipment	import export manager in agricultural machinery and equipment
quantity_surveyor	quantity surveyor
vessel_operations_coordinator	vessel operations coordinator
historian	historian
ICT_security_consultant	ICT security consultant
chemical_production_manager	chemical production manager
child_care_social_worker	child care social worker
air_traffic_manager	air traffic manager
ICT_teacher_secondary_school	ICT teacher secondary school
lime_kiln_operator	lime kiln operator
water_based_aquaculture_technician	water-based aquaculture technician
meteorology_technician	meteorology technician
chemist	chemist
ammunition_specialised_seller	ammunition specialised seller
sound_operator	sound operator
laundry_worker	laundry worker
biotechnical_technician	biotechnical technician
granulator_machine_operator	granulator machine operator
audio_describer	audio describer
construction_general_supervisor	construction general supervisor
chief_marketing_officer	chief marketing officer
field_survey_manager	field survey manager
boring_machine_operator	boring machine operator
musical_conductor	musical conductor
leather_goods_production_supervisor	leather goods production supervisor
renewable_energy_engineer	renewable energy engineer
microelectronics_engineering_technician	microelectronics engineering technician
tower_crane_operator	tower crane operator
refurbishing_technician	refurbishing technician
investment_manager	investment manager
call_centre_agent	call centre agent
fur_animals_breeder	fur animals breeder
secretary_of_state	secretary of state
intelligent_lighting_engineer	intelligent lighting engineer
missionary	missionary
rolling_stock_engineering_technician	rolling stock engineering technician
real_estate_manager	real estate manager
civil_engineering_technician	civil engineering technician
court_clerk	court clerk
textile_designer	textile designer
pharmaceutical_quality_specialist	pharmaceutical quality specialist
water_conservation_technician	water conservation technician
briquetting_machine_operator	briquetting machine operator
sectional_belt_mould_assembler	sectional belt mould assembler
candy_machine_operator	candy machine operator
chef	chef
pharmacologist	pharmacologist
ict_disaster_recovery_analyst	ICT disaster recovery analyst
filigree_maker	filigree maker
teacher_of_talented_and_gifted_students	teacher of talented and gifted students
embedded_system_designer	embedded system designer
software_tester	software tester
twisting_machine_operator	twisting machine operator
mine_manager	mine manager
optical_technician	optical technician
university_teaching_assistant	university teaching assistant
quality_services_manager	quality services manager
sporting_accessories_specialised_seller	sporting accessories specialised seller
learning_support_teacher	learning support teacher
renewable_energy_consultant	renewable energy consultant
sports_instructor	sports instructor
sociology_lecturer	sociology lecturer
gambling_betting_and_lottery_games_designer	gambling, betting, and lottery games designer
production_engineering_technician	production engineering technician
environmental_education_officer	environmental education officer
kinesiologist	kinesiologist
cosmetic_chemist	cosmetic chemist
environmental_scientist	environmental scientist
sociologist	sociologist
industrial_cook	industrial cook
clock_and_watchmaker	clock and watchmaker
footwear_product_developer	footwear product developer
import_export_manager_in_machinery_industrial_equipment_ships_and_aircraft	import export manager in machinery, industrial equipment, ships and aircraft
blending_plant_operator	blending plant operator
tyre_vulcaniser	tyre vulcaniser
coquille_casting_worker	coquille casting worker
ict_help_desk_manager	ICT help desk manager
bookshop_specialised_seller	bookshop specialised seller
hydroelectric_plant_operator	hydroelectric plant operator
crossing_guard	crossing guard
gunsmith	gunsmith
rail_switchperson	rail switchperson
business_economics_researcher	business economics researcher
corporate_social_responsibility_manager	corporate social responsibility manager
water_engineering_technician	water engineering technician
campaign_canvasser	campaign canvasser
online_community_manager	online community manager
home_care_aide	home care aide
waste_management_supervisor	waste management supervisor
textile_industry_machinery_distribution_manager	textile industry machinery distribution manager
customer_service_representative	customer service representative
music_director	music director
clothing_specialised_seller	clothing specialised seller
special_educational_needs_head_teacher	special educational needs head teacher
commercial_sales_representative	commercial sales representative
semiconductor_processor	semiconductor processor
footwear_factory_warehouse_operator	footwear factory warehouse operator
gambling_manager	gambling manager
product_development_manager	product development manager
hand_brick_moulder	hand brick moulder
medical_records_clerk	medical records clerk
horse_breeder	horse breeder
orthopaedic_footwear_technician	orthopaedic footwear technician
braiding_machine_operator	braiding machine operator
construction_painter	construction painter
data_warehouse_designer	data warehouse designer
restoration_technician	restoration technician
linen_room_attendant	linen room attendant
animal_artificial_insemination_technician	animal artificial insemination technician
optical_instrument_assembler	optical instrument assembler
kennel_worker	kennel worker
actuarial_assistant	actuarial assistant
pesticide_mixer	pesticide mixer
ict_presales_engineer	ICT presales engineer
motor_vehicle_aftersales_manger	motor vehicle aftersales manger
plasma_cutting_machine_operator	plasma cutting machine operator
cutting_machine_operator	cutting machine operator
fossil_fuel_power_plant_operator	fossil-fuel power plant operator
textile_chemical_quality_technician	textile chemical quality technician
precision_mechanics_supervisor	precision mechanics supervisor
welding_engineer	welding engineer
lasting_machine_operator	lasting machine operator
anaesthetic_technician	anaesthetic technician
sauce_production_operator	sauce production operator
biophysicist	biophysicist
wholesale_merchant_in_household_goods	wholesale merchant in household goods
import_export_manager_in_hardware_plumbing_and_heating_equipment_and_supplies	import export manager in hardware, plumbing and heating equipment and supplies
land_based_machinery_supervisor	land-based machinery supervisor
mine_geologist	mine geologist
cigar_brander	cigar brander
solderer	solderer
dental_instrument_assembler	dental instrument assembler
hospitality_vocational_teacher	hospitality vocational teacher
building_caretaker	building caretaker
wearing_apparel_patternmaker	wearing apparel patternmaker
ammunition_assembler	ammunition assembler
engraving_machine_operator	engraving machine operator
radiation_protection_technician	radiation protection technician
gambling_betting_and_lottery_game_developer	gambling, betting, and lottery game developer
consultant_social_worker	consultant social worker
machinery_assembly_coordinator	machinery assembly coordinator
choreographer	choreographer
spark_erosion_machine_operator	spark erosion machine operator
knitting_textile_technician	knitting textile technician
tiling_supervisor	tiling supervisor
mergers_and_acquisitions_analyst	mergers and acquisitions analyst
fisheries_deckhand	fisheries deckhand
specialist_nurse	specialist nurse
construction_scaffolder	construction scaffolder
paperhanger_supervisor	paperhanger supervisor
ambassador	ambassador
digital_prototyper	digital prototyper
masseur_masseuse	masseur/masseuse
dry_house_attendant	dry house attendant
domestic_appliances_shop_manager	domestic appliances shop manager
harpsichord_maker	harpsichord maker
high_rigger	high rigger
media_scientist	media scientist
education_welfare_officer	education welfare officer
translator	translator
container_equipment_assembler	container equipment assembler
social_service_consultant	social service consultant
mechatronics_assembler	mechatronics assembler
video_and_motion_picture_director	video and motion picture director
credit_adviser	credit adviser
toilet_attendant	toilet attendant
watch_and_clock_repairer	watch and clock repairer
horticulture_worker	horticulture worker
stage_manager	stage manager
baker	baker
water_treatment_systems_operator	water treatment systems operator
science_teacher_secondary_school	science teacher secondary school
financial_auditor	financial auditor
hotel_concierge	hotel concierge
chemical_application_specialist	chemical application specialist
event_manager	event manager
medical_goods_shop_manager	medical goods shop manager
transport_health_and_safety_inspector	transport health and safety inspector
liquid_waste_treatment_plant_operator	liquid waste treatment plant operator
footwear_production_machine_operator	footwear production machine operator
crop_production_manager	crop production manager
finishing_textile_technician	finishing textile technician
land_based_machinery_operator	land-based machinery operator
illustrator	illustrator
wind_energy_engineer	wind energy engineer
fire_service_vehicle_operator	fire service vehicle operator
stand_in	stand-in
nursing_lecturer	nursing lecturer
snow_clearing_worker	snow-clearing worker
geological_engineer	geological engineer
mixed_farmer	mixed farmer
electrical_equipment_inspector	electrical equipment inspector
equipment_engineer	equipment engineer
tumbling_machine_operator	tumbling machine operator
meteorologist	meteorologist
zoo_curator	zoo curator
aerospace_engineering_drafter	aerospace engineering drafter
industrial_firefighter	industrial firefighter
tanner	tanner
leather_goods_hand_cutting_operator	leather goods hand cutting operator
marine_electronics_technician	marine electronics technician
disc_jockey	disc jockey
fundraising_assistant	fundraising assistant
sports_equipment_repair_technician	sports equipment repair technician
ergonomist	ergonomist
grinding_machine_operator	grinding machine operator
automotive_designer	automotive designer
publishing_rights_manager	publishing rights manager
online_sales_channel_manager	online sales channel manager
special_forces_officer	special forces officer
production_plant_crane_operator	production plant crane operator
electromechanical_drafter	electromechanical drafter
insurance_rating_analyst	insurance rating analyst
water_jet_cutter_operator	water jet cutter operator
brew_house_operator	brew house operator
power_lines_supervisor	power lines supervisor
aircraft_fuel_system_operator	aircraft fuel system operator
dance_teacher	dance teacher
animal_handler	animal handler
import_export_manager_in_flowers_and_plants	import export manager in flowers and plants
special_educational_needs_assistant	special educational needs assistant
locker_room_attendant	locker room attendant
mobile_crane_operator	mobile crane operator
energy_trader	energy trader
sewerage_cleaner	sewerage cleaner
foster_care_support_worker	foster care support worker
auditing_clerk	auditing clerk
agricultural_technician	agricultural technician
leather_goods_quality_manager	leather goods quality manager
component_engineer	component engineer
heating_ventilation_air_conditioning_engineer	heating, ventilation, air conditioning engineer
diplomat	diplomat
vineyard_machinery_operator	vineyard machinery operator
maritime_pilot	maritime pilot
energy_systems_engineer	energy systems engineer
electromagnetic_engineer	electromagnetic engineer
vessel_assembly_supervisor	vessel assembly supervisor
archaeologist	archaeologist
relocation_officer	relocation officer
harvest_diver	harvest diver
on_foot_aquatic_resources_collector	on foot aquatic resources collector
business_intelligence_manager	business intelligence manager
automated_cutting_machine_operator	automated cutting machine operator
labour_relations_officer	labour relations officer
concrete_finisher_supervisor	concrete finisher supervisor
sport_administrator	sport administrator
vineyard_supervisor	vineyard supervisor
vehicle_glazier	vehicle glazier
bed_and_breakfast_operator	bed and breakfast operator
oil_refinery_control_room_operator	oil refinery control room operator
veneer_slicer_operator	veneer slicer operator
manufacturing_cost_estimator	manufacturing cost estimator
train_preparer	train preparer
colour_sampling_operator	colour sampling operator
gauger	gauger
promoter	promoter
promotion_assistant	promotion assistant
pest_management_worker	pest management worker
financial_planner	financial planner
public_speaking_coach	public speaking coach
waterway_construction_labourer	waterway construction labourer
textile_dyeing_technician	textile dyeing technician
metal_furniture_machine_operator	metal furniture machine operator
circus_artist	circus artist
electronic_equipment_inspector	electronic equipment inspector
green_ict_consultant	green ICT consultant
typist	typist
moulding_machine_operator	moulding machine operator
foreclosure_specialist	foreclosure specialist
activity_leader	activity leader
air_separation_plant_operator	air separation plant operator
lacquer_maker	lacquer maker
mastering_engineer	mastering engineer
mine_shift_manager	mine shift manager
energy_conservation_officer	energy conservation officer
flowers_and_plants_distribution_manager	flowers and plants distribution manager
furniture_cleaner	furniture cleaner
imagesetter	imagesetter
interpreter	interpreter
greaser	greaser
rotating_equipment_mechanic	rotating equipment mechanic
educational_counsellor	educational counsellor
satellite_engineer	satellite engineer
tyre_builder	tyre builder
computers_computer_peripheral_equipment_and_software_distribution_manager	computers, computer peripheral equipment and software distribution manager
deep_sea_fishery_worker	deep-sea fishery worker
corporate_investment_banker	corporate investment banker
factory_hand	factory hand
rotating_equipment_engineer	rotating equipment engineer
election_observer	election observer
staircase_installer	staircase installer
refuse_vehicle_driver	refuse vehicle driver
medical_device_assembler	medical device assembler
pharmaceutical_goods_distribution_manager	pharmaceutical goods distribution manager
diesel_engine_mechanic	diesel engine mechanic
library_manager	library manager
leather_goods_manual_operator	leather goods manual operator
veterinary_nurse	veterinary nurse
photonics_engineering_technician	photonics engineering technician
electrical_drafter	electrical drafter
casting_machine_operator	casting machine operator
printed_circuit_board_test_technician	printed circuit board test technician
cadastral_technician	cadastral technician
physiologist	physiologist
data_scientist	data scientist
motorcycle_instructor	motorcycle instructor
fiberglass_laminator	fiberglass laminator
cloak_room_attendant	cloak room attendant
ship_planner	ship planner
park_guide	park guide
actor_actress	actor/actress
leather_wet_processing_department_manager	leather wet processing department manager
navy_officer	navy officer
vehicle_maintenance_supervisor	vehicle maintenance supervisor
bookmaker	bookmaker
dog_trainer	dog trainer
pasta_maker	pasta maker
confectionery_specialised_seller	confectionery specialised seller
industrial_machinery_mechanic	industrial machinery mechanic
boat_rigger	boat rigger
fact_checker	fact checker
newspaper_editor	newspaper editor
microsystem_engineering_technician	microsystem engineering technician
fisheries_boatman	fisheries boatman
middle_office_analyst	middle office analyst
chief_ict_security_officer	chief ICT security officer
electronics_engineering_technician	electronics engineering technician
rail_logistics_coordinator	rail logistics coordinator
marine_cargo_inspector	marine cargo inspector
history_teacher_secondary_school	history teacher secondary school
chemical_metallurgist	chemical metallurgist
paper_cutter_operator	paper cutter operator
puppeteer	puppeteer
regional_development_policy_officer	regional development policy officer
water_quality_analyst	water quality analyst
alternative_animal_therapist	alternative animal therapist
made_up_textile_articles_manufacturer	made-up textile articles manufacturer
centrifuge_operator	centrifuge operator
braiding_textile_technician	braiding textile technician
travel_consultant	travel consultant
automotive_test_driver	automotive test driver
aviation_meteorologist	aviation meteorologist
